Date/Time,Building_type,Construction_period,retrofit_scenario,Hot water + Space Heating demand [J](Hourly),Space Heating demand [J](Hourly),Hot water demand [J](Hourly),,Electricity demand [J](Hourly) ,G [W](msquared)
 07/18  13:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,29608171.56,8867180.293,706.11
 07/18  14:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,23907397.45,4211252.116,601.06
 07/18  15:00:00,SFH,2011-2015,No retrofit,0,0,0,3736122.458,969985.0368,470.95
 07/18  16:00:00,SFH,2011-2015,No retrofit,0,0,0,3829588.831,969985.0368,341.28
 07/18  17:00:00,SFH,2011-2015,No retrofit,0,0,0,3590798.68,969985.0368,185.23
 07/18  18:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,27758552.16,4211252.116,54.47
 07/18  19:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,24707079.6,8867180.293,0
 07/18  20:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,22389600.98,10419156.35,0
 07/18  21:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,18022951.22,4211252.116,0
 07/18  22:00:00,SFH,2011-2015,No retrofit,2386163.191,0,2386163.191,16479648.19,4211252.116,0
 07/18  23:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,0
 07/18  24:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/19  01:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/19  02:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/19  03:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/19  04:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,49.32
 07/19  05:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,192.23
 07/19  06:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,361.2
 07/19  07:00:00,SFH,2011-2015,No retrofit,1431697.914,0,1431697.914,17204693.58,8867180.293,529.87
 07/19  08:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,15894908.55,4211252.116,678.86
 07/19  09:00:00,SFH,2011-2015,No retrofit,0,0,0,105396.8975,969985.0368,771.8
 07/19  10:00:00,SFH,2011-2015,No retrofit,0,0,0,2013351.779,969985.0368,843.01
 07/19  11:00:00,SFH,2011-2015,No retrofit,0,0,0,4513951.265,969985.0368,872.39
 07/19  12:00:00,SFH,2011-2015,No retrofit,0,0,0,6276280.093,969985.0368,838.86
 07/19  13:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,35347480.31,8867180.293,741.74
 07/19  14:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,31437621.15,4211252.116,639.77
 07/19  15:00:00,SFH,2011-2015,No retrofit,0,0,0,7454572.062,969985.0368,483.3
 07/19  16:00:00,SFH,2011-2015,No retrofit,0,0,0,11545040.64,969985.0368,327.2
 07/19  17:00:00,SFH,2011-2015,No retrofit,0,0,0,11370551.07,969985.0368,174.99
 07/19  18:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,35994599.83,4211252.116,52.05
 07/19  19:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,32106224.77,8867180.293,0
 07/19  20:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,29596575.59,10419156.35,0
 07/19  21:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,24023773.52,4211252.116,0
 07/19  22:00:00,SFH,2011-2015,No retrofit,2386163.191,0,2386163.191,21164572.74,4211252.116,0
 07/19  23:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,0
 07/19  24:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/20  01:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/20  02:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/20  03:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/20  04:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,51.61
 07/20  05:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,197.23
 07/20  06:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,371.35
 07/20  07:00:00,SFH,2011-2015,No retrofit,1431697.914,0,1431697.914,19996096.91,8867180.293,534.3
 07/20  08:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,19903237.75,4211252.116,648.71
 07/20  09:00:00,SFH,2011-2015,No retrofit,0,0,0,1501716.146,969985.0368,761.29
 07/20  10:00:00,SFH,2011-2015,No retrofit,0,0,0,6296052.372,969985.0368,819.36
 07/20  11:00:00,SFH,2011-2015,No retrofit,0,0,0,9500525.146,969985.0368,854.62
 07/20  12:00:00,SFH,2011-2015,No retrofit,0,0,0,9510415.44,969985.0368,826.47
 07/20  13:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,39060028.16,8867180.293,758.8
 07/20  14:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,33899411.95,4211252.116,655.62
 07/20  15:00:00,SFH,2011-2015,No retrofit,0,0,0,7504208.739,969985.0368,524.31
 07/20  16:00:00,SFH,2011-2015,No retrofit,0,0,0,10500293.54,969985.0368,360.45
 07/20  17:00:00,SFH,2011-2015,No retrofit,0,0,0,9858671.972,969985.0368,193.5
 07/20  18:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,34831833.23,4211252.116,53.84
 07/20  19:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,30229366.97,8867180.293,0
 07/20  20:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,27225061.2,10419156.35,0
 07/20  21:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,22013773.29,4211252.116,0
 07/20  22:00:00,SFH,2011-2015,No retrofit,2386163.191,0,2386163.191,19379625.74,4211252.116,0
 07/20  23:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,0
 07/20  24:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/21  01:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/21  02:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/21  03:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/21  04:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,40.23
 07/21  05:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,116.94
 07/21  06:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,196.45
 07/21  07:00:00,SFH,2011-2015,No retrofit,1431697.914,0,1431697.914,24636256.45,8867180.293,286.73
 07/21  08:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,22638084.37,4211252.116,412.54
 07/21  09:00:00,SFH,2011-2015,No retrofit,0,0,0,1894892.483,969985.0368,385.05
 07/21  10:00:00,SFH,2011-2015,No retrofit,0,0,0,6882803.063,969985.0368,665.62
 07/21  11:00:00,SFH,2011-2015,No retrofit,0,0,0,10124485.92,969985.0368,562.97
 07/21  12:00:00,SFH,2011-2015,No retrofit,0,0,0,12162986.95,969985.0368,640.81
 07/21  13:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,45164009.51,8867180.293,647.3
 07/21  14:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,40013647.22,4211252.116,476.79
 07/21  15:00:00,SFH,2011-2015,No retrofit,0,0,0,13517766.21,969985.0368,322.45
 07/21  16:00:00,SFH,2011-2015,No retrofit,0,0,0,19143191.75,969985.0368,196.15
 07/21  17:00:00,SFH,2011-2015,No retrofit,0,0,0,18412170.03,969985.0368,96.52
 07/21  18:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,44499143.41,4211252.116,28.66
 07/21  19:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,40592909.55,8867180.293,0
 07/21  20:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,37425914.52,10419156.35,0
 07/21  21:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,31199975.47,4211252.116,0
 07/21  22:00:00,SFH,2011-2015,No retrofit,2386163.191,0,2386163.191,28967045.46,4211252.116,0
 07/21  23:00:00,SFH,2011-2015,No retrofit,0,0,0,2156695.44,1551976.059,0
 07/21  24:00:00,SFH,2011-2015,No retrofit,0,0,0,3160091.174,969985.0368,0
 07/22  01:00:00,SFH,2011-2015,No retrofit,0,0,0,2577075.384,969985.0368,0
 07/22  02:00:00,SFH,2011-2015,No retrofit,0,0,0,1902377.546,969985.0368,0
 07/22  03:00:00,SFH,2011-2015,No retrofit,0,0,0,1330711.499,969985.0368,0
 07/22  04:00:00,SFH,2011-2015,No retrofit,0,0,0,838000.453,969985.0368,35.14
 07/22  05:00:00,SFH,2011-2015,No retrofit,0,0,0,415818.5747,969985.0368,129.96
 07/22  06:00:00,SFH,2011-2015,No retrofit,0,0,0,509771.1506,1551976.059,240.02
 07/22  07:00:00,SFH,2011-2015,No retrofit,1431697.914,0,1431697.914,32068653.86,8867180.293,380.8
 07/22  08:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,23669382.24,4211252.116,519.92
 07/22  09:00:00,SFH,2011-2015,No retrofit,0,0,0,137751.1479,969985.0368,561.63
 07/22  10:00:00,SFH,2011-2015,No retrofit,0,0,0,1800326.134,969985.0368,583.18
 07/22  11:00:00,SFH,2011-2015,No retrofit,0,0,0,3493014.857,969985.0368,711.62
 07/22  12:00:00,SFH,2011-2015,No retrofit,0,0,0,5054018.448,969985.0368,719.95
 07/22  13:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,38306464.57,8867180.293,609.66
 07/22  14:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,30370152.31,4211252.116,448.61
 07/22  15:00:00,SFH,2011-2015,No retrofit,0,0,0,3455765.25,969985.0368,313.06
 07/22  16:00:00,SFH,2011-2015,No retrofit,0,0,0,5979700.2,969985.0368,201.66
 07/22  17:00:00,SFH,2011-2015,No retrofit,0,0,0,6356914.79,969985.0368,113.54
 07/22  18:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,33817265.41,4211252.116,28.38
 07/22  19:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,30534645.9,8867180.293,0
 07/22  20:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,28715523.01,10419156.35,0
